sch,maj,A,B,C,D,req
中国计量大学,/,20,10,0,0,110
浙江中医药大学,中医学（5+3）,10,7,4,0,85
浙江中医药大学,中医康复学,10,7,4,0,79
浙江中医药大学,其他,10,7,4,0,61
浙江越秀外国语学院,/,10,8,6,4,40
浙江万里学院,一类,12,9,6,4,70
浙江万里学院,二类,12,9,6,4,65
浙江万里学院,三类,12,9,6,4,60
浙江外国语学院,语言类,10,6,2,0,10
浙江外国语学院,非语言类,10,6,2,0,10
浙江外国语学院,数理类,10,6,2,0,10
浙江水利水电学院,工程技术类,10,7,4,0,0
浙江水利水电学院,经管人文类,10,7,4,0,0
浙江师范大学,小学教育,10,8,4,0,90
浙江师范大学,汉语言文学,10,8,4,0,90
浙江师范大学,英语,10,8,4,0,90
浙江师范大学,生物科学,10,8,4,0,90
浙江师范大学,思想政治教育,10,8,4,0,90
浙江师范大学,地理复硕,10,8,4,0,90
浙江师范大学,化学复硕,10,8,4,0,90
浙江师范大学,学前教育,10,8,4,0,80
浙江师范大学,特殊教育,10,8,4,0,70
浙江农林大学,C类,15,10,5,0,90
浙江农林大学,B类,15,10,5,0,90
浙江农林大学,A类,15,10,5,0,90
浙江理工大学,理工类一,10,8,4,0,74
浙江理工大学,理工类二,10,8,4,0,74
浙江理工大学,经管人文类,10,8,4,0,74
浙江科技学院,实验班,15,10,5,0,50
浙江科技学院,科技类,15,10,5,0,50
浙江科技学院,商科类,15,10,5,0,50
浙江海洋大学,一类,15,10,6,1,90
浙江海洋大学,二类,15,10,6,1,80
浙江工业大学,A组,4,2,0,0,/
浙江工业大学,B组,4,2,0,0,/
浙江工业大学,C组,4,2,0,0,/
浙江工业大学,D组,4,2,0,0,/
浙江工业大学,E组,4,2,0,0,/
浙江工业大学,F组,4,2,0,0,/
浙江工商大学,B类,10,5,0,0,60
浙江工商大学,A类,10,5,0,0,70
浙江财经大学东方学院,/,10,8,5,2,0
浙江财经大学,A组,15,9,3,0,100
浙江财经大学,B组,15,9,3,0,100
浙江财经大学,C组,15,9,3,0,85
浙大宁波理工学院,/,10,8,5,0,60
浙大城市学院,/,10,8,4,0,60
温州医科大学,医药相关类,10,9,7,4,91
温州医科大学,医学临床类,10,9,7,4,96
温州商学院,/,15,11,7,3,0
温州肯恩大学,A组,15,10,5,0,80
温州肯恩大学,B组,15,10,5,0,80
温州大学,师范类,15,10,5,0,110
温州大学,非师范类,15,10,5,0,100
台州学院,A类,10,8,6,4,48
台州学院,B类,10,8,6,4,48
台州学院,C类,10,8,6,4,48
绍兴文理学院,理工1类,10,8,6,4,58
绍兴文理学院,理工2类,10,8,6,4,58
绍兴文理学院,师范1类,10,8,6,4,58
绍兴文理学院,师范2类,10,8,6,4,58
衢州学院,/,10,7,4,0,35
宁波幼儿师范高等专科学校,学前教育,30,25,21,18,192
宁波诺丁汉大学,/,10,7,4,0,70
宁波工程学院,/,10,5,3,0,25
宁波大学科学技术学院,/,10,7,3,0,0
宁波大学,非师范类,10,8,4,0,82
宁波大学,师范类,10,8,4,0,82
宁波财经学院,管理类,15,9,6,4,60
宁波财经学院,理工类,15,9,6,4,40
丽水学院,普通类,10,7,4,1,40
金华职业技术学院,学前教育,30,25,21,18,192
嘉兴学院,师范类,10,7,4,0,35
嘉兴学院,物理类,10,7,4,0,35
嘉兴学院,普通类,10,7,4,0,28
湖州师范学院,师范组1,15,9,3,0,60
湖州师范学院,师范组2,15,9,3,0,51
湖州师范学院,师范组3,15,9,3,0,45
湖州师范学院,非师范组1,15,9,3,0,27
湖州师范学院,非师范组2,15,9,3,0,36
杭州师范大学,学前教育,10,5,2,0,40
杭州师范大学,小学教育,10,5,2,0,60
杭州师范大学,历史复硕,10,5,2,0,85
杭州师范大学,物理复硕,10,5,2,0,85
杭州师范大学,特殊教育,10,5,2,0,30
杭州师范大学,护理学,10,5,2,0,20
杭州电子科技大学,/,15,10,5,0,110
温州理工学院,/,10,8,4,0,40
嘉兴南湖学院,/,10,7,3,0,0
湖州学院,/,10,7,4,0,35